,Title,Company,Location,Salary,Summary
142,Panel Officer-EO/EG-VMD,Reliance Industries,"Vadodara, Gujarat",Nan,"At Reliance, every employee is expected to abide by the six Core Values and associated behaviours that underpin our way of working. Ability to write log book."
143,Sanyaasi - Monk/Priest,Sriom Adisakthi Ashram,"Walajabad, Tamil Nadu",Nan,"Help people realize importance of faith and higher power. … This is an urgent position, send us your CV today through the relevant link."
144,Office Administrator,Stitch Experiences,"Tardeo, Mumbai, Maharashtra",330000.0,Basic office organisation- handle accounts - operational supervision- customer service. … Minimum 3 years of relevant work experience.
145,Officer - Document Controller,GlaxoSmithKline,"Vemagallu, Karnataka",Nan,If you come across unsolicited email from email addresses not ending in gsk.com or job advertisements which state that you should contact an email address that…
146,Event Coordinator,Mobile Marketing Association,"Mumbai, Maharashtra",480000.0,Managing Mailers to be sent for events. … Managing backend services for Smarties entries. … Great exposure to work with International Events.
147,Advisor,Atal Bihari Vajpayee Institute of Good Governance...,"Bhopal, Madhya Pradesh",0,(i) Post-Graduation in Finance/Economics/ Statistics/ Management/ Agriculture/Social Work/Development Studies with a minimum of 60% marks and a consistently…
148,Admin Assistant,ALPLA India Private Ltd.,India,Nan,What you will enjoy doing. Responsible for entire admin activities for Plant. … Excellent organizing and coordinating skills. What you can expect working with us.
149,Computer Typist & Admin,educare Academy NEET / JEE TRAINING INSTITUTE,"Dindigul, Tamil Nadu",84000.0,Required admin executive with excellent communication skills in English and 1 -3 years experience with MS Office for office located in Dindigul .
150,Purchase Officer,Shree Ganesh pigment pvt ltd,"Ankleshwar, Gujarat",Nan,Experience -1 to 3 Year. … Ensure promotion of customer requirements. … Manage Supplier performance and create action plans to address those that underperform.
151,Quality Inspector,Jabil Circuit,"Ranjangaon, Maharashtra",Nan,"At Jabil, we empower the brands who empower the world – it’s our reason for being and the guiding force that’s driving us to become the most technologically…"
152,Customer Relation Co- worker,Ikea,"Pune, Maharashtra",Nan,I know my levels of authorization to solve payment problems and customer complaints when they occur and recognize when I need to escalate an issue to someone…
153,Junior Process Executive (JPE) -Process Executive (PE),Société Générale,India,Nan,"Established as an offshore development centre in Bangalore, also having a presence in Chennai, SG GSC has 15 years of sustainable delivery expertise to its…"
154,Data Entry Operator (Image Labelling) - Freshers & Experienc...,Annova Solutions Pvt Ltd,"Indore, Madhya Pradesh",Nan,We are looking for Freshers and Experienced candidates for the role of Image Data Labeler (Image Data Labeling/Data Entry).
155,Fresher For Back Office/Computer Operator,AE-RT Private Limited,"Aundh, Pune, Maharashtra",246000.0,Freshers depends on the support of the back office to function effectively. Maintain accounts information with MS word.
156,Logistics Coordinator,Belfrost International LLP,"Ahmedabad, Gujarat",Nan,Logistics coordinators are responsible for managing transportation procedure with proper documentation of imported goods.
157,SR Back Office Operations,Bloom Consulting Services,India,Nan,Excellent communication skills as the job entails coordination with the client and our US office. What You Need for this Position. You should have knowledge of:
158,Receptionist cum Admin Assistant,Hindustan Infrastructure Solution,"Ahmedabad, Gujarat",162000.0,"Looking for female candidates Only. Welcomes visitors by greeting them, in person or on the telephone; Directs visitors by maintaining employee and department…"
159,Audit Officer,Rural Housing & Mortgage Finance,"Ahmedabad, Gujarat",Nan,"0-2yrs in relevant industry, Fresher can apply.  Understanding and knowledge on Internal Audit process.  Knowledge on Account Finalization."
160,Computer Operator cum Clerk,Jogde's Efforts Academy & Planetarium,"Ahmadnagar, Maharashtra",Nan,Person can get accomoaccommo & food facility in our campus. Basic knowledge of CorelDraw & PageMaker.
161,IT System Admin,Adit,"Ahmedabad, Gujarat",Nan,"To work within our team, helping to build out, maintain, and troubleshoot our infrastructure. Excellent working and learning platform."
162,MLR-Stores,Syngene,India,Nan,"Handling material receipts, Inspection, verification, Labelling, and Storage as per GMP procedure. Material accounting and submitting invoice to finance timely."
163,Export Documentation Executive,RK HR Management,"Ahmedabad, Gujarat",Nan,RK HR Management provide different executive and head hunting search services to reputed corporate entities for different function & industry domains like…
164,Front Desk Executive,Dreamz Infra Ventures,India,Nan,Graduate - Any Experience - Minimum 2 Years Designation - Front Desk Executive Job Description : Responsible For Good Communication Skills & Positive…
165,Sr. Purchase Officer,Pioneer Carbide Pvt Limited,"Guwahati, Assam",270000.0,Prior Experience in Purchase/ Store Department in any… Candidates who fulfills the above criteria can contact 8638175178 (Mr. Amit Gupta) for further details.
166,Clerk cum Data Entry Operator,DREAMLINE SERVICES,"Delhi, Delhi",Nan,"10:00 AM to 6:00 PMNo TargetsAGE CRITERIA- 18-27 Years10th, 12th Pass, Under-Graduate, Graduates & Dropouts.Freshers are generally welcomeCall On Shivam-96672…"
167,Data Entry Operator/Computer Operator,AdAired Digital Media Pvt.Ltd.,"Mohali, Punjab",114000.0,Freshers with good communication skills required -… Male / Female both can apply. … To schedule interview - can call 8907200008 .( between 5:00pm - 6:00pm only).
168,SAS Assistant,Dr. B R Ambedkar National Institute Of Technology,"Jalandhar, Punjab",886800.0,"Education:Bachelors degree in Physical education. … Dr B R Ambedkar National Institute Of Technology Jalandhar G T Road Bye Pass, Jalandhar - 144011 (Punjab)."
169,"Front Line Officer - Accounts- BB Puram, AP East Godavari",Aditya Birla Group,"Kakinada, Andhra Pradesh",Nan,"Release payment to sundry contractors & transporters on due date through Cheques, RTGS, Bank transfer and payment advice etc. … Oct 26, 2019, 6:29:00 PM."
170,Junior Accounts Executive Cum Tally Operator,Bright Stars,"Kolkata, West Bengal",0,Must be B.Com with knowledge of TALLY Fresher Can Also Apply Male Or Female For any query please contact On 93301/39587 Recruiter Name:…
171,Office Co-ordinator,Giant Asia,"Ahmedabad, Gujarat",132000.0,"Need to co-ordinate with corporate clients, maintain data on computer as well as documentation, Co-ordinate with transporters."
172,Receptionist/Front office Executive,Sai Sectretarial Services,India,160000.0,"Multi-tasking, Flexibility, Telephone Skills, Customer Service, Time Management, Organization, Attention to Detail, Scheduling, Professionalism, Quality Focus."
173,Assistant,Dr. APJ Abdul Kalam Govt. College,"Silvassa, Dadra and Nagar Haveli",73900.0,UT Administration of Dadra & Nagar Havell invites online applications from eligible persons for the recruitment of following posts under Silvassa Municipal…
174,Freelance Content Writer,hcm info systems,India,Nan,"We're looking for freelance content writers having excellent English… Our content requirement includes web service pages , article, blogs & press release."
175,Data Entry Operator,Jawaharlal Institute of Postgraduate Medical Educa...,"Pondicherry Ho., Puducherry",0,Interested candidates may please send their current CV along with application form (attached on JIPMER website) with a recent color photo and three references…
176,"Government jobs for 622 Computer Operator, Bill Assistant, J...",Nan,India,Nan,We explain the whole criteria and other conditions related to these Government jobs in Manipur state below in this article. … Meter Reader cum Bill Distributor.
177,Required Male Candidates For Back Office Operation Role In A...,Adler Talent Solutions Pvt. Ltd.,"Ahmedabad, Gujarat",Nan,Greetings from Adler Talent Solutions Adler Talent Solutions Private Limited is one of the fastest growing company into Talent consulting business catering…
178,Admin Executive,Tesseract Imaging Pvt Ltd,"Ghansoli, Navi Mumbai, Maharashtra",Nan,"You will act as the first point of contact for admin-related queries from… Ultimately, you should be able to ensure our HR department supports our employees."
179,Data Entry Operator(DEO)/Computer Operator,Digital Logicom Pvt.Ltd,"R K Puram, Delhi",222000.0,"We are looking for Data Entry Operator (DEO), Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be…"
180,Airport Ground Staff Handling,GRE Pvt Ltd,India,276000.0,Minimum 12th pass or Above (Male & Female). … Male & Female Both Can Apply. Age limit - 18 to 27 years (Male & Female). … Ground Staff And Passport Checking.
181,shift In charge,matangi industries LLP,"Ahmedabad, Gujarat",450000.0,Managing production in accordance with company targets/ goals. … Plan and manage production (Master Production Schedule) and get it approved by department Manager…
182,Quality Executive,MPTA Education Ltd,"Ranchi, Jharkhand",1980000.0,"Having Good Domain knowledge of DDUGKY Project Ready to Travel. Fresher can apply. Have Good Communication skill Job Type: Full-time Salary: ₹1,800,000…"
183,we have Urgent Requirement of Admin Personnel,Amanta Healthcare Ltd,"Ahmedabad, Gujarat",400000.0,Greeting of the Day !! Amanta Helthcare Ltd .is Looking for young and dynamic Admin Professional for it;s plant. … To maintain Register of Factory Acts.
184,Travel Desk Executive cum Back Office Executive,WELCOME TRAVEL SERVICES,"Naroda I E, Gujarat",Nan,"Basic Knowledge of Microsoft is required like Ms Excel,Word,Power Point etc., Software data entry, Tourism Industry knowledge. Naroda I E, Gujarat (Preferred)."
185,Executive - Global Accounting operations,General Mills,"Mumbai, Maharashtra",Nan,"It nourishes our bodies, brings us joy and connects us to each other. Utilize available data to identify, communicate and address risk areas."
186,Principal,National Dairy Development Board,"Anand, Gujarat",Nan,The completed application form along with a DD for Rs.300/- favouring “Anandalaya Education Society” payable at Anand should be sent in a sealed envelope …
187,Store Incharge,Ajanta Shoes (I) Pvt Ltd,India,Nan,"3 to 5 years of experience at an established retail organization, with at least 3 years of experience as a store manager."
188,Manage Accounts,Elbex Courier,India,270000.0,Carrying out of the statutory audit of companies including listed companies. Preparation and presentation of financial statements in Revised Schedule VI and…
189,CUSTOMER SERVICE OFFICER,DBS Bank,India,Nan,Implement Customer satisfaction surveys and establish the business at one of the best in the industry. Develop and monitor service scorecards for the branch.
190,Graduate Internship 2019 - India,Shell,India,Nan,"Put into practice the theories and concepts you have learned.As you’ll be assessed entirely on how well you perform during your internship, you could even…"
191,Quality Assurance (Alwar Location),Manav Management Group,"Alwar, Rajasthan",275000.0,"18000 to 25000 per Month. 1 Years to 3 Years. Salary 2 Lac To 3 Lac 50 Thousand P.A. Work Experience 1 - 3 Years. 39, Ist Floor, Neelam Flyover Market, N.I.T."
